Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
Unknown,Unknown,1-1 :-. it may impact during the pick up from the tray due to curve happened & Current scanner 5~10 degree only suitable,Identified during failure analysis,2-1:- Adjust the block and used to ensure block is parallel by using pressure paper
Unknown,Unknown,2-1:- Unloading robot vacuum alarm due to block got incline,Identified during failure analysis,See problem description
General Equipment,F/T machine,Alarm / Indication :,Identified during failure analysis,Double confirm the loading position of each channel
Unknown,Unknown,Matting NG,Identified during failure analysis,Unloading Mating gantry Optimization MP intent Speed (mm/s)
Unknown,Unknown,1. Pack loading position shift after Increase speed of the robot resulting matting NG,Identified during failure analysis,See problem description
Assembly Station,Post APMT,1. Position of out sensor on sampling conveyor was not OK to stop Part,Identified during failure analysis,1: Sensor location adjusted from outside to inside by 20mm.
Unknown,Unknown,2. Calibration getting fail for FAI 52,Identified during failure analysis,2: Cleaned the Calibration block and glass of CCD and then calibration got OK.
Assembly Station,Pre APMT,FAI Data was not getting upload on server due to Eye – Software closed internally,Identified during failure analysis,"Restarted the PC and software again , which resolved the issue."
General Equipment,F/T machine,Camera communication issue due to Robot 4 movement causing the camera cable to Intermittent communication break .,Identified during failure analysis,Changed the Robot 4 Ethernet cable and properly dressed the wires
Assembly Station,Post APMT,1.Failure of CCD camera (300DC),Identified during failure analysis,1. Cleaned the CCD glass and camera lens.
Unknown,Unknown,2.Calibration failures at FAI 52 and FAI 58,Identified during failure analysis,2. Established a routine cleaning schedule for the CCD every 4 hours.
General Equipment,Water ingress Wrapping,Flapper not removing properly due to misalignment of flapper removing jaws.,Identified during failure analysis,Realigned the cylinder block to ensure the flapper fits between the jaws correctly.
Welding Machine,Laser Welding,Right side flip PCM hold broke due to loose bolts.,Identified during failure analysis,"Provided a new block, tightened the bolts using thread lock to prevent looseness, and marked the bolts for future reference."
General Equipment,FT,Alarm/ Indication 1: On Machine HMI Alarm show CCD NG .,Identified during failure analysis,Corrective Action 1: Closed the English version software And Changed the Framework CCD software from English language to Chinese version.
Unknown,Unknown,,Identified during failure analysis,See problem description
Unknown,Unknown,Root Cause 1: Framework CCD software not work in English language.,Identified during failure analysis,See problem description
General Equipment,Image Capture,Alarm/Indication: Vacuum abnormal alarm popup on Display,Identified during failure analysis,Corrective Action:. Change the vacuum cup of battery picking Pad.
Unknown,Unknown,"Root Cause: Battery pack loading station part not pick from CCD to turn table, due to Vacuum not generate.",Identified during failure analysis,See problem description
General Equipment,Cosmetic tape wrapping,Indication: LQC station wrapping NG.,Identified during failure analysis,Corrective Action: Pneumatic pipe dressing done on proper route to avoid the vacuum formation.
Unknown,Unknown,"Root Cause: Big wing wrapping NG at small wing wrapping station top press block vacuum formation not happen on tape , due to pipe bend.",Identified during failure analysis,See problem description
Assembly Station,Pre-APMT,During 24 hrs. Calibration to reset the machine power turn off/on resulted in load/unload robot alarm due to WIP material.,Identified during failure analysis,Machine power reset done and PPG station position taken in middle position after that machine initial and calibration done then running ok.
Unknown,Unknown,During initialization operator manually jogged and triggered PPG Z-axis lower limit alarm.,Identified during failure analysis,Recommend TZTEK to program the machine to stop for calibration WIP material.
General Equipment,Tab Z bending machine,Tab Z bending shape not proper due to improper pressing of forming cylinder.,Identified during failure analysis,Pressure adjusted from 0.2 Mpa to 0.3 Mpa and locked the prob.
Unknown,Unknown,Pressure fluctuation of regulator resulted in improper forming.,Identified during failure analysis,Pressure Regulation Prob. Direction to be change from Horizontal to vertical direction.
Unknown,Unknown,NG- 0.2 Mpa,Identified during failure analysis,Preventive Action :- Process parameter recorded in CQP & controlled through digital pressure switch.
Loading System,Cell Loading machine,Part presence sensor not working due to optical fiber cable got damage internally.,Identified during failure analysis,See problem description
Unknown,Unknown,Internal fibre wire damage occur due to Robot movement .,Identified during failure analysis,Part Presence sensor optical fiber cable changed &
Loading System,PCM Loading,"FAI 26,51 NG in Post-APMT due to PCM pick block in PCM Loading machine got loose.",Identified during failure analysis,Tightening done with thread lock and marking done.
General Equipment,VHB,Due to movement of clean pro cover of Plasma cleaning station reed switch wire broken internally.,Identified during failure analysis,Reed switch changed and wire routing done properly to protect wire break again.
General Equipment,Cosmetic tape sticking,"As camera was not connected due to a loose USB Micro B connection, causing intermittent breaks in the camera connection.",Identified during failure analysis,Camera cable removed and Port cleaning done with brush after that restart the PC and software
Loading System,PCM Loading,HALCON error #6001 occurred in CCD software due to prolonged PC uptime without restart.,Identified during failure analysis,"Restarted the PC and CCD software. Monitored system stability for 2 hours post-restart, confirming normal operation."
General Equipment,VHB EDS Sticking,"The vacuum alarm for VHB2 was caused by the misalignment or slippage of the VHB plate due to continuous movement. This misalignment prevented proper vacuum formation in the VHB picking vacuum pad, triggering the alarm.",Identified during failure analysis,Adjust the bolt grub screw adjust the height of the liner peel of plate to ensure it is parallel.
General Equipment,FT,"This alarm is caused due to the reed switch position , which was at the edge of the magnet on the cylinder's piston instead of being centered on the magnetic ring which sometime make it ON and OFF.",Identified during failure analysis,"To resolve this issue, the position of the reed switch was adjusted to the center of the magnetic ring on the piston of the pneumatic cylinder."
Welding Machine,Laser Welding,Drive enable Alarm occurred due to the major frame losses occurring between drive 7 to 8,Identified during failure analysis,Ethernet Communication cable changed from drive 7 to drive 8 and port cleaning done.
Inspection Station,Connector Inspection,"Alarm triggered by a small inclination gap between the pack and the vacuum pad due to which sometime vacuum formation not occurred within the set time of PLC, resulting in the alarm",Identified during failure analysis,Reduced the gap between the vacuum pad and the pack by ensuring parallel alignment of the upper and lower pads. This was achieved by checking and adjusting with a filler gauge on all sides of the vacuum pad. Cable
General Equipment,VHB,"The VHB gets an NG status due to a flapper obstructing the camera, preventing a clear picture. This is happening as During the peel-off process, some flapper material, displaced by purging air, ends up on the camera.",Identified during failure analysis,
General Equipment,Leakage,"Upon inquiry with the machine supplier, it was determined that the PLC module (NX-ECC201, OMRON make) needed to be replaced.",Identified during failure analysis,Module changed with new one and machine running under observation.
General Equipment,VHB,"Check the PLC logic and delay was found in the wrap cylinder. ""X16.12 Wrapping Cylinder2 fwd 2"" does not meet the specified time limit due to less speed of cylinder movement.",Identified during failure analysis,Air Flow of Cylinder increased and FCV locked and match marking done.
